Country,total_vaccinations_per_hundred
Afghanistan,7.87
Albania,57.43
Algeria,22.39
Andorra,120.78
Angola,8.31
Anguilla,122.74
Antigua and Barbuda,82.97
Argentina,107.48
Armenia,12.36
Aruba,144.32
Australia,96.14
Austria,118.69
Azerbaijan,78.03
Bahamas,43.62
Bahrain,145.3
Bangladesh,22.49
Barbados,77.68
Belarus,33.96
Belgium,141.64
Belize,68.09
Benin,1.4
Bermuda,138.82
Bhutan,134.13
Bolivia,53.99
Bonaire Sint Eustatius and Saba,135.55
Bosnia and Herzegovina,32.49
Botswana,24.51
Brazil,103.97
British Virgin Islands,105.94
Brunei,91.81
Bulgaria,35.83
Burkina Faso,0.77
Cambodia,130.72
Cameroon,1.66
Canada,145.02
Cape Verde,68.65
Cayman Islands,157.31
Central African Republic,2.29
Chad,0.73
Chile,160.24
China,151.02
Colombia,74.99
Comoros,37.63
Congo,5.64
Cook Islands,127.79
Costa Rica,94.81
Cote d'Ivoire,6.51
Croatia,82.54
Cuba,160.16
Curacao,112.69
Cyprus,127.21
Czechia,109.34
Democratic Republic of Congo,0.14
Denmark,150.2
Djibouti,6.59
Dominica,60.93
Dominican Republic,106.24
Ecuador,116.35
Egypt,12.43
El Salvador,109.75
England,137.93
Equatorial Guinea,25.53
Estonia,100.97
Eswatini,19.71
Ethiopia,2.56
Faeroe Islands,149.64
Falkland Islands,124.91
Fiji,101.02
Finland,132.95
France,136.56
French Polynesia,95.98
Gabon,7.52
Gambia,8.12
Georgia,41.99
Germany,126.14
Ghana,5.12
Gibraltar,235.39
Greece,114.83
Greenland,135
Grenada,45.67
Guatemala,33.69
Guernsey,151.5
Guinea,10.28
Guinea-Bissau,4.13
Guyana,65.58
Haiti,0.53
Honduras,46.08
Hong Kong,111.28
Hungary,96.01
Iceland,159.54
India,58.29
Indonesia,45.19
Iran,51.01
Iraq,16.2
Ireland,143.09
Isle of Man,150.94
Israel,167.93
Italy,136.95
Jamaica,23.63
Japan,121.47
Jersey,149.05
Jordan,66.45
Kazakhstan,70.87
Kenya,6.07
Kiribati,25.81
Kosovo,60.85
Kuwait,54.88
Kyrgyzstan,20.37
Laos,59.66
Latvia,84.96
Lebanon,40.47
Lesotho,15.42
Liberia,2.19
Libya,21.04
Liechtenstein,118.57
Lithuania,124.15
Luxembourg,122.52
Macao,98.66
Madagascar,1.34
Malawi,5
Malaysia,124.07
Maldives,132.88
Mali,1.9
Malta,157.76
Mauritania,6.98
Mauritius,127.68
Mexico,73.14
Moldova,33.89
Monaco,126.47
Mongolia,131.32
Montenegro,69.08
Montserrat,57.34
Morocco,102.92
Mozambique,10.66
Myanmar,16.42
Namibia,14.46
Nauru,136.7
Nepal,39.7
Netherlands,129.25
New Caledonia,61.35
New Zealand,97.98
Nicaragua,11.48
Niger,2.47
Nigeria,2.93
Niue,145.72
North Macedonia,68.92
Northern Cyprus,79.23
Northern Ireland,132.21
Norway,139.33
Oman,88.76
Pakistan,33.23
Palestine,35.56
Panama,115.39
Papua New Guinea,1.7
Paraguay,60.96
Peru,70.38
Philippines,37.29
Pitcairn,200
Poland,97.78
Portugal,152.94
Qatar,158.78
Romania,51.97
Russia,60.24
Rwanda,25.16
Saint Helena,129.48
Saint Kitts and Nevis,87.56
Saint Lucia,39.36
Saint Vincent and the Grenadines,29.31
Samoa,71.23
San Marino,137.95
Sao Tome and Principe,29.34
Saudi Arabia,116.11
Scotland,145.78
Senegal,10.28
Serbia,92.31
Seychelles,150.04
Sierra Leone,2.72
Singapore,155.01
Sint Maarten (Dutch part),113.21
Slovakia,85.16
Slovenia,99.35
Solomon Islands,13.88
Somalia,2.38
South Africa,26.64
South Korea,108.21
South Sudan,0.84
Spain,148.32
Sri Lanka,115.67
Sudan,3.34
Suriname,63.97
Sweden,131.92
Switzerland,116.24
Syria,2.92
Taiwan,55.22
Tajikistan,39.72
Tanzania,0.57
Thailand,63.96
Timor,49.71
Togo,9.82
Tokelau,70.76
Tonga,64.07
Trinidad and Tobago,72.89
Tunisia,59.76
Turkey,124.19
Turkmenistan,0.69
Turks and Caicos Islands,133.52
Tuvalu,91.08
Uganda,3.05
Ukraine,26.61
United Arab Emirates,195.04
United Kingdom,136.44
United States,114.84
Uruguay,173.38
Uzbekistan,51.38
Vanuatu,16.1
Venezuela,38.65
Vietnam,34.73
Wales,144.69
Wallis and Futuna,89.26
Yemen,1.06
Zambia,3.43
Zimbabwe,33.43
